1,30,57.766
1,42.5,57.964
1,55,58.059
1,67.5,58.086
1,80,56.835
3.5,30,47.265
3.5,42.5,47.774
3.5,55,47.94
3.5,67.5,48.1
3.5,80,48.215
6,30,40.89
6,42.5,41.716
6,55,41.998
6,67.5,42.244
6,80,42.355
8.5,30,36.727
8.5,42.5,33.941
8.5,55,37.985
8.5,67.5,38.397
8.5,80,38.538
11,30,30.862
11,42.5,30.967
11,55,31.539
11,67.5,31.894
11,80,49.621
